# Number of nodes: 100
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
82	2	63.25	49.48
82	3	62.42	49.53
82	4	74.09	56.33
82	5	52.94	50.26
82	6	62.68	57.17
83	1	54.78	44.5
83	2	52.65	52.58
83	3	68.67	50.9
83	4	59.66	55.5
83	5	53.07	48.97
83	6	64.43	60.67
84	1	65.0	58.31
84	2	60.5	53.08
84	3	67.27	42.78
84	4	47.25	45.97
84	5	61.02	41.77
84	6	47.85	51.09
85	1	61.05	38.98
85	2	73.18	47.97
85	3	65.82	38.26
85	4	53.99	58.24
85	5	65.27	43.56
85	6	70.3	55.67
86	1	54.98	45.24
86	2	43.83	48.03
86	3	65.43	48.55
86	4	62.1	45.83
86	5	66.85	55.99
86	6	48.19	54.48
87	1	56.28	49.49
87	2	68.46	57.17
87	3	53.81	53.13
87	4	59.74	46.81
87	5	62.2	58.59
87	6	64.66	58.35
88	1	51.62	54.39
88	2	57.5	49.83
88	3	55.86	43.08
88	4	65.17	50.77
88	5	58.49	46.0
88	6	57.39	56.63
89	1	55.77	44.06
89	2	63.65	42.93
89	3	69.12	47.84
89	4	72.04	44.96
89	5	49.13	45.86
89	6	63.95	51.1
90	1	49.4	34.61
90	2	80.45	53.26
90	3	69.73	55.22
90	4	58.17	60.12
90	5	71.86	51.3
90	6	57.62	45.45
91	1	63.02	46.29
91	2	66.5	49.08
91	3	58.14	48.13
91	4	63.67	55.36
91	5	48.6	49.63
91	6	76.7	55.38
92	1	62.6	56.32
92	2	62.11	56.82
92	3	65.91	53.02
92	4	75.75	57.33
92	5	57.63	42.65
92	6	63.62	45.84
93	1	55.15	44.86
93	2	63.16	53.94
93	3	62.88	52.86
93	4	63.15	49.89
93	5	72.37	48.86
93	6	67.23	47.65
94	1	54.1	41.38
94	2	62.35	45.66
94	3	70.86	43.6
94	4	48.93	50.41
94	5	55.71	51.69
94	6	65.97	49.82
95	1	63.87	45.44
95	2	75.27	43.98
95	3	61.59	42.99
95	4	58.71	50.12
95	5	66.76	61.35
95	6	63.95	50.13
96	1	53.28	44.58
96	2	59.24	54.89
96	3	70.79	44.81
96	4	61.5	38.96
96	5	63.64	49.98
96	6	70.47	51.29
97	1	48.11	45.05
97	2	59.24	46.22
97	3	55.45	48.74
97	4	71.59	53.92
97	5	60.83	45.4
97	6	55.55	53.52
98	1	53.56	38.36
98	2	74.26	51.37
98	3	61.46	54.72
98	4	64.8	51.19
98	5	58.09	46.04
98	6	70.59	56.81
99	1	58.07	38.83
99	2	69.16	49.34
99	3	66.99	45.5
99	4	63.62	44.06
99	5	62.43	56.67
99	6	58.77	43.79
100	1	64.75	45.29
100	2	63.07	49.55
100	3	68.25	53.25
100	4	65.68	38.87
100	5	62.43	56.68
100	6	63.76	47.83
